ANIO_DENUNCIA,ANIO_ENTRADA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_DELITO,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,LEY,MUNICIPIO,HABITANTES,PREDOMINANCIA,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS
2010,2010,2010,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,2
2011,2011,2011,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2011,2011,2011,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,,1
2012,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2012,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,1
2012,2012,2012,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,NO,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,1
2013,2013,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,,1
2013,2013,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,,1
2014,2014,2013,NO,NO,FEMINICIDIO ART. 104A C.P.,Santander,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,BUCARAMANGA,528572,URBANO,Colombia,,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADOLESCENTE 14 - 17,SI,NO,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,2
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,JUVENTUD 18 - 28,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,BOGOTÁ, D. C.,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,SI,NO,Ley 906,BOGOTÁ, D.C.,8380801,URBANO,Colombia,FEMENINO,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,SI,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,1
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Bolívar,ACTIVO,INDAGACIÓN,FEMINICIDIO,SIN DATO,SI,NO,NO,Ley 906,CARTAGENA,1057767,URBANO,Colombia,FEMENINO,2
2014,2014,2014,NO,NO,FEMINICIDIO ART. 104A C.P.,Cauca,ACTIVO,INDAGACIÓN,FEMINICIDIO,ADULTEZ 29 - 59,SI,NO,NO,Ley 906,SANTANDER DE QUILICHAO,100681,URBANO,Colombia,FEMENINO,1
